player_name,player_id,min_tourn_date,max_tourn_date,total_matches
 Jakobs,231284,1983-08-01 00:00:00,1983-08-01 00:00:00,1
 Jauda,229551,1980-07-07 00:00:00,1980-07-07 00:00:00,1
 Johnson,226585,1973-01-29 00:00:00,1973-01-29 00:00:00,1
 Joly,230220,1981-05-25 00:00:00,1981-05-25 00:00:00,3
 Jones,226226,1974-05-29 00:00:00,1974-05-29 00:00:00,1
 Joszai,227677,1970-07-20 00:00:00,1970-07-20 00:00:00,1
 Juergens,224078,1968-05-30 00:00:00,1968-05-30 00:00:00,1
 June,229447,1980-05-07 00:00:00,1980-05-07 00:00:00,1
 Jurkowicz,227070,1972-08-21 00:00:00,1972-08-21 00:00:00,1
 Just,224770,1977-02-11 00:00:00,1977-02-11 00:00:00,1
 Kaiser,227693,1970-08-17 00:00:00,1970-08-17 00:00:00,1
 Kanemitsu,230321,1981-10-19 00:00:00,1981-10-19 00:00:00,1
 Karine,226601,1973-03-12 00:00:00,1973-03-12 00:00:00,1
 Karol,226593,1973-03-01 00:00:00,1973-03-01 00:00:00,1
 Kassler,229503,1980-06-30 00:00:00,1980-06-30 00:00:00,1
 Kellerman,224061,1968-04-01 00:00:00,1968-04-01 00:00:00,1
 Kennedy,229667,1980-10-13 00:00:00,1980-10-13 00:00:00,1
 Kijinato,230860,1982-10-18 00:00:00,1982-10-18 00:00:00,3
 Knuebel,228198,1968-01-26 00:00:00,1968-01-26 00:00:00,1
 Kopp,227069,1972-08-21 00:00:00,1972-08-21 00:00:00,1
 Kraus,227694,1970-08-17 00:00:00,1970-08-17 00:00:00,1
 Kuhlmann,224307,1978-01-31 00:00:00,1978-01-31 00:00:00,1
 Kunstfeld,227692,1969-07-07 00:00:00,1970-08-17 00:00:00,5
 Larsen,226586,1973-01-29 00:00:00,1973-01-29 00:00:00,1
 Lee,226620,1973-05-07 00:00:00,1973-05-07 00:00:00,1
 Lenskova,228088,1969-08-12 00:00:00,1969-08-12 00:00:00,1
 Ligao,230324,1981-10-19 00:00:00,1981-10-19 00:00:00,3
 Lindner,229606,1980-07-19 00:00:00,1980-07-19 00:00:00,1
 Lindquist,224774,1977-02-26 00:00:00,1977-03-03 00:00:00,3
 Lippert,229555,1980-07-07 00:00:00,1981-12-09 00:00:00,4
 List,227993,1968-07-08 00:00:00,1969-01-20 00:00:00,2
 Lockhart,225827,1975-05-26 00:00:00,1975-05-26 00:00:00,1
 Loibl,228179,1968-07-31 00:00:00,1968-07-31 00:00:00,1
 Lopez Banus,229724,1980-11-17 00:00:00,1981-05-18 00:00:00,5
 Ludewig,229598,1980-07-19 00:00:00,1981-12-09 00:00:00,2
 Luidinant,230832,1982-05-17 00:00:00,1982-05-17 00:00:00,1
 Lupo,227572,1971-09-27 00:00:00,1971-09-27 00:00:00,1
 Lynch,230287,1981-07-27 00:00:00,1981-07-27 00:00:00,1
 Madlindl,225369,1976-07-05 00:00:00,1976-07-05 00:00:00,1
 Manhart,227064,1972-08-21 00:00:00,1972-08-21 00:00:00,1
 Mansour,227604,1970-03-09 00:00:00,1970-03-09 00:00:00,1
 Mariani,226986,1972-03-13 00:00:00,1972-03-13 00:00:00,1
 Marine,203762,1977-05-23 00:00:00,1977-05-23 00:00:00,1
 Marquez,230307,1981-08-31 00:00:00,1981-08-31 00:00:00,1
 Massimino,229453,1980-05-07 00:00:00,1980-05-07 00:00:00,1
 Mcguire,225814,1975-05-05 00:00:00,1975-05-05 00:00:00,1
 Menendez,225346,1976-03-15 00:00:00,1976-03-15 00:00:00,1
 Menyhart,227672,1970-07-20 00:00:00,1970-07-20 00:00:00,1
 Mezger,229591,1980-07-24 00:00:00,1980-07-24 00:00:00,1
 Michel,225372,1976-07-05 00:00:00,1976-07-05 00:00:00,1
 Miklashevskaya,227516,1971-02-25 00:00:00,1971-02-25 00:00:00,1
 Milat,231277,1983-07-03 00:00:00,1983-07-03 00:00:00,1
 Mirilatskaia,233579,1988-08-08 00:00:00,1988-08-08 00:00:00,1
 Mischkowski,228036,1969-05-19 00:00:00,1969-05-19 00:00:00,1
 Mittendorffer,230801,1982-04-05 00:00:00,1982-04-05 00:00:00,1
 Mogalie,229649,1980-08-20 00:00:00,1980-08-20 00:00:00,1
 Moll,229648,1980-08-14 00:00:00,1980-08-14 00:00:00,1
 Mornard,228067,1969-07-14 00:00:00,1969-07-14 00:00:00,1
 Mueller,227698,1970-08-24 00:00:00,1970-08-24 00:00:00,1
 Mullmann,225332,1976-01-05 00:00:00,1976-01-05 00:00:00,1
 Murmann,229603,1980-07-19 00:00:00,1980-07-19 00:00:00,1
 Murray,225803,1975-04-21 00:00:00,1975-04-21 00:00:00,1
 Nicoe,225802,1975-04-21 00:00:00,1975-04-21 00:00:00,1
 Nicol,225828,1975-05-26 00:00:00,1975-05-26 00:00:00,1
 Nicolaus,228172,1968-07-08 00:00:00,1968-07-08 00:00:00,1
 Nochacova,231683,1984-10-08 00:00:00,1984-10-08 00:00:00,1
 Norris,231294,1983-09-19 00:00:00,1983-09-19 00:00:00,1
 Noskova,227023,1972-05-08 00:00:00,1972-05-08 00:00:00,1
 Obika,230861,1982-10-18 00:00:00,1982-10-18 00:00:00,1
 Obrien,224369,1978-04-24 00:00:00,1982-08-02 00:00:00,6
 Ochs,228180,1968-07-31 00:00:00,1968-07-31 00:00:00,1
