player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,repeat_flag
Silvija Talaja,"['200007', '235409']",1991-04-08 00:00:00,2007-11-05 00:00:00,611,200007,True
Sofia Kelbert,"['210832', '233666']",1988-10-31 00:00:00,2010-09-13 00:00:00,70,210832,True
Sofia Nahiara Garcia,"['220928', '236977']",2019-09-09 00:00:00,2021-03-29 00:00:00,5,220928,True
Sophia Desiree Piech,"['239185', '259879']",2021-05-24 00:00:00,2022-05-30 00:00:00,14,239185,True
Soumia Islami,"['212248', '235095']",1990-10-29 00:00:00,2008-04-25 00:00:00,3,212248,True
Stanislava Bobrovnikova,"['221347', '225865']",2018-09-17 00:00:00,2021-08-23 00:00:00,21,221347,True
Stephanie Barfield,"['231260', '236429']",1983-02-28 00:00:00,1995-08-14 00:00:00,4,231260,True
Stephanie Johnson,"['223077', '223078']",1970-07-27 00:00:00,2015-07-27 00:00:00,33,223077,True
Sumara Passos,"['211354', '233667']",1988-10-31 00:00:00,2011-08-08 00:00:00,141,211354,True
Sylvia Schenck,"['201767', '231300']",1983-09-26 00:00:00,2022-11-28 00:00:00,313,201767,True
Tina Aryani,"['204156', '235522']",1991-08-19 00:00:00,1997-09-22 00:00:00,4,204156,True
Tracy Schroeder,"['210221', '235949']",1992-08-24 00:00:00,2008-11-17 00:00:00,30,210221,True
Tup Singer,"['228000', '229304']",1969-02-03 00:00:00,1980-01-14 00:00:00,2,228000,True
Valentina Lia,"['220334', '239415']",2017-03-06 00:00:00,2021-08-02 00:00:00,9,220334,True
Victoria Davies,"['203813', '228866']",1979-06-25 00:00:00,2001-10-29 00:00:00,116,203813,True
Weronika Ewald,"['260439', '260541']",2022-07-25 00:00:00,2022-12-05 00:00:00,10,260439,True
Wukirasih Sawondari,"['203004', '236223']",1993-11-29 00:00:00,2008-05-12 00:00:00,155,203004,True
Yana Parshina,"['214173', '247651']",2013-11-11 00:00:00,2021-09-13 00:00:00,12,214173,True
