player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,flag,Aggregate
Anne Coleman,200222,02/01/1968 00:00,29/05/1972 00:00,37,200222,FALSE,
Anne Covert,235873,06/01/1992 00:00,25/07/1994 00:00,3,235873,FALSE,
Anne Croonenbergs,227595,26/02/1970 00:00,26/02/1970 00:00,1,227595,FALSE,
Anne Curtin,229737,15/12/1980 00:00,15/12/1980 00:00,3,229737,FALSE,
Anne Degioanni,207123,10/04/1989 00:00,09/09/1996 00:00,58,207123,FALSE,
Anne Dickhardt,208392,14/07/2003 00:00,09/05/2005 00:00,4,208392,FALSE,
Anne Duffy,227017,06/05/1972 00:00,06/05/1972 00:00,1,227017,FALSE,
Anne Dulaurens,236247,07/02/1994 00:00,24/10/1994 00:00,5,236247,FALSE,
Anne Fitzpatrick,235606,04/11/1991 00:00,25/11/1991 00:00,8,235606,FALSE,
Anne Frankinet,233018,10/08/1987 00:00,10/08/1987 00:00,1,233018,FALSE,
Anne Frautschi,224803,26/06/1977 00:00,26/06/1977 00:00,1,224803,FALSE,
Anne Fritz,203776,11/04/1977 00:00,29/01/1979 00:00,14,203776,FALSE,
Anne Gaelle Sidot,200070,20/09/1993 00:00,27/05/2002 00:00,387,200070,FALSE,
Anne Gibbons,230856,11/10/1982 00:00,25/10/1982 00:00,14,230856,FALSE,
Anne Grete Qvist,226188,04/03/1974 00:00,22/04/1974 00:00,8,226188,FALSE,
Anne Grousbeck,201916,14/03/1983 00:00,01/04/1991 00:00,127,201916,FALSE,
Anne Gylling,209405,10/07/2006 00:00,04/06/2007 00:00,3,209405,FALSE,
Anne Happonen,212705,06/10/1985 00:00,06/10/1985 00:00,2,212705,FALSE,
Anne Hobbs,200383,08/03/1976 00:00,06/11/1989 00:00,416,200383,FALSE,
Anne Hodgson,227507,06/01/1969 00:00,01/02/1971 00:00,3,227507,FALSE,
Anne Jamers,216824,06/06/1994 00:00,06/06/1994 00:00,1,216824,FALSE,
Anne Keothavong,201303,19/04/1999 00:00,24/06/2013 00:00,740,201303,FALSE,
Anne Knuettel,216176,22/08/2016 00:00,20/01/2020 00:00,13,216176,FALSE,
Anne Kremer,200124,03/06/1991 00:00,09/02/2014 00:00,909,200124,FALSE,
Anne Laure Brochard,207848,19/03/2001 00:00,19/03/2001 00:00,1,207848,FALSE,
Anne Laure Dorseuil,205628,22/10/2007 00:00,22/10/2007 00:00,1,205628,FALSE,
Anne Laure Heitz,203021,28/07/1997 00:00,20/07/2009 00:00,208,203021,FALSE,
Anne Laure Le Guennec,207014,11/09/1995 00:00,08/11/1999 00:00,37,207014,FALSE,
Anne Laurence Bilenne,206510,05/08/1997 00:00,23/08/1999 00:00,9,206510,FALSE,
Anne Linn Perez,208009,01/10/2001 00:00,23/09/2002 00:00,8,208009,FALSE,
Anne Liz Jeukeng,202697,26/07/2010 00:00,27/07/2015 00:00,50,202697,FALSE,
