player_name,player_id,min_tourn_date,max_tourn_date,total_matches,Flag
Monica Munoz,212403,20/07/1986 00:00,25/07/1988 00:00,13,0
Monica Neveklovska,210513,05/10/2009 00:00,17/10/2011 00:00,15,0
Monica Niculescu,201512,29/04/2002 00:00,27/09/2021 00:00,899,0
Monica Pagni,229517,07/07/1980 00:00,04/08/1980 00:00,3,0
Monica Pezzotti,205677,21/08/2006 00:00,14/07/2008 00:00,18,0
Monica Pons,232519,04/08/1986 00:00,13/07/1987 00:00,2,0
Monica Poveda,206583,09/10/1995 00:00,26/04/2003 00:00,46,0
Monica Puig,201620,02/02/2008 00:00,02/05/2022 00:00,521,0
Monica Putri Kusuma Wardhani,213844,01/07/2013 00:00,21/09/2015 00:00,4,0
Monica Rebolledo,213367,23/09/1991 00:00,10/10/1994 00:00,12,0
Monica Reinach,203796,24/11/1980 00:00,09/10/1989 00:00,67,0
Monica Rey,213143,05/09/1988 00:00,05/08/1991 00:00,26,0
Monica Rho,200913,29/01/1973 00:00,23/06/1975 00:00,26,0
Monica Ribero,206600,08/09/1997 00:00,30/04/1998 00:00,2,0
Monica Robinson,220561,17/07/2017 00:00,27/05/2019 00:00,18,0
Monica Saffie,206640,02/09/1996 00:00,21/09/1998 00:00,11,0
Monica Salsamendi,234316,22/05/1989 00:00,22/05/1989 00:00,1,0
Monica Santaolalla Ristic,241006,19/07/2021 00:00,17/10/2022 00:00,5,0
Monica Sara,232577,06/10/1986 00:00,06/10/1986 00:00,1,0
Monica Scartoni,203022,17/01/1994 00:00,18/08/2003 00:00,171,0
Monica Seles,200652,07/03/1988 00:00,26/05/2003 00:00,725,0
Monica Simmen,201935,21/06/1976 00:00,31/10/1988 00:00,45,0
Monica Toledo,236358,17/04/1995 00:00,20/11/1995 00:00,3,1
Monica Toledo,214102,28/10/2013 00:00,28/10/2013 00:00,1,1
Monica Turewicz,210283,01/06/2009 00:00,01/06/2009 00:00,1,0
Monica Weber,201870,28/03/1983 00:00,25/10/1987 00:00,53,0
Monica Wiese,212791,26/07/1987 00:00,08/02/1988 00:00,5,0
Monica Wiesener,205004,14/10/2002 00:00,12/09/2005 00:00,3,0
Monica Yajima,209879,02/06/2008 00:00,02/06/2008 00:00,1,0
Monika Brzuskiewicz,207568,17/07/1995 00:00,13/05/1996 00:00,2,0
Monika Dancevic,205048,10/06/2002 00:00,27/10/2003 00:00,16,0
Monika De Lenart,213103,24/10/1988 00:00,14/10/1991 00:00,48,0
Monika Dedaj,222529,02/09/2019 00:00,02/09/2019 00:00,1,0
Monika Drumlak,236136,16/08/1993 00:00,16/08/1993 00:00,1,0
Monika Fuchs,224811,04/07/1977 00:00,10/03/1980 00:00,3,0
